OTU	710686226252_replicate1_S44_L001_001.fastq	710686226252_replicate2_S45_L001_001.fastq	710686226252_replicate3_S46_L001_001.fastq	710686226352_replicate1_S47_L001_001.fastq	710686226352_replicate2_S48_L001_001.fastq	710686226352_replicate3_S49_L001_001.fastq	710687421551_replicate1_S50_L001_001.fastq	710687421551_replicate2_S51_L001_001.fastq	710687421551_replicate3_S52_L001_001.fastq	710687421651_replicate1_S53_L001_001.fastq	710687421651_replicate2_S54_L001_001.fastq	710687421651_replicate3_S55_L001_001.fastq	710687421751_replicate1_S56_L001_001.fastq	710687421751_replicate2_S57_L001_001.fastq	710687421751_replicate3_S58_L001_001.fastq	710687421851_replicate1_S59_L001_001.fastq	710687421851_replicate2_S60_L001_001.fastq	710687421851_replicate3_S61_L001_001.fastq	710687421951_replicate1_S62_L001_001.fastq	710687421951_replicate2_S63_L001_001.fastq	710687421951_replicate3_S64_L001_001.fastq	NC200116070651_replicate1_S11_L001_001.fastq	NC200116070651_replicate2_S12_L001_001.fastq	NC200116070651_replicate3_S13_L001_001.fastq	Kingdom	Phylum	Class	Order	Family	Genus
Otu0795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria_unclassified	Betaproteobacteria_unclassified	Betaproteobacteria_unclassified
Otu0796	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria_unclassified	Betaproteobacteria_unclassified	Betaproteobacteria_unclassified
Otu0797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria_unclassified	Betaproteobacteria_unclassified	Betaproteobacteria_unclassified
Otu0798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionIII	FamilyI	Oscillatoria
Otu0799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria_unclassified	Betaproteobacteria_unclassified	Betaproteobacteria_unclassified
Otu0800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria_unclassified	Betaproteobacteria_unclassified	Betaproteobacteria_unclassified
Otu0801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Bacteria	Proteobacteria	Proteobacteria_unclassified	Proteobacteria_unclassified	Proteobacteria_unclassified	Proteobacteria_unclassified
Otu0802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillales_unclassified	Bacillales_unclassified
Otu0803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Bacteria	Proteobacteria	Proteobacteria_unclassified	Proteobacteria_unclassified	Proteobacteria_unclassified	Proteobacteria_unclassified
Otu0804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria_unclassified	Betaproteobacteria_unclassified	Betaproteobacteria_unclassified
